"tweetscreenamecounts","Freq"
"1049293146",1
"1049311836",2
"104938803",4
"1049422777",1
"1049431760",1
"1049434470",5
"1049471929",2
"1049543407",1
"1049549412",2
"1049587388",1
"104966663",3
"104970805",1
"104972123",1
"1049815938",1
"1049855402",1
"1049887904",1
"105005678",1
"105010727",1
"105020217",1
"105021294",1
"105022577",1
"105026645",6
"105032343",1
"105032657",1
"1050368053",1
"105043826",1
"1050487148",1
"1050511",1
"1050542971",4
"1050741960",1
"105075241",1
"1050824478",1
"1050936528",1
"1050992167",1
"1051004166",9
"1051035865",1
"105105009",2
"1051199730",3
"1051234826",1
"1051256125",2
"1051443565",1
"1051445930",1
"1051478940",1
"1051554997",1
"1051576267",5
"1051623402",2
"1051713644",1
"105171703",12
"105178245",6
"105181519",1
"1051834098",1
"1051886581",1
"1051912417",1
"1051986626",1
"105205018",1
"105208956",1
"1052105347",1
"105211048",1
"1052182236",2
"1052293165",1
"105235964",1
"105251665",2
"1052520014",1
"105256094",1
"105262545",1
"105263299",3
"105287724",1
"1052928276",1
"105296688",2
"1053031014",1
"1053039558",1
"1053125742",1
"105313186",2
"105323012",1
"105328652",1
"105329716",1
"1053342672",1
"1053429840",1
"1053482936",1
"1053500304",1
"1053551071",1
"1053605491",3
"1053619255",1
"105366463",1
"1053668558",1
"1053670520",1
"1053729626",1
"105373412",2
"1053782348",3
"1053946364",2
"1053966217",1
"105399098",1
"1054107150",1
"1054142286",2
"105415771",1
"1054173294",1
"105419187",1
"1054289011",1
"1054377343",4
"1054408092",2
"1054435836",3
"105453539",3
"1054662991",1
"1054725006",2
"105495100",1
"105503711",1
"1055091738",1
"1055185022",1
"105536343",2
"1055490090",2
"105554954",1
"105570251",1
"1055703608",1
"105583266",1
"105587667",1
"105587999",1
"1055914429",1
"1056049297",2
"1056075817",1
"105609284",1
"1056111146",1
"1056123738",1
"1056164898",1
"105617415",2
"105617425",1
"1056223592",1
"1056243810",1
"105628210",1
"1056282242",1
"105630338",1
"105632018",3
"1056333740",1
"1056378487",1
"1056385184",1
"1056411086",1
"1056443689",1
"1056446784",1
"1056460754",1
"1056504450",3
"1056547050",2
"1056552596",1
"1056632712",1
"1056636030",1
"1056682735",1
"1056731900",1
"105674602",1
"105676304",1
"1056799831",2
"1056815798",3
"1056868880",3
"1056895736",1
"105692407",4
"1056925261",1
"1057066742",1
"1057073838",3
"105731632",1
"1057420442",1
"105747544",3
"1057495200",2
"1057579981",1
"1057736239",1
"105780671",1
"1057992504",3
"105800917",3
"105801651",1
"105805596",1
"105809740",1
"105810788",7
"1058120324",2
"105821398",1
"105841986",1
"105847180",1
"105852109",1
"1058547264",34
"1058549070",1
"1058559158",2
"105859781",1
"1058637032",1
"1058704464",4
"105873906",1
"1058759852",1
"1058802138",29
"1058802482",2
"1058876239",1
"1058904756",1
"105899607",1
"1059098275",1
"1059117732",1
"105912148",2
"1059140406",2
"1059161665",3
"1059181993",1
"1059191905",1
"105919758",1
"1059206142",1
"105921210",1
"1059269300",1
"1059283807",2
"1059342378",1
"105936465",16
"1059370723",1
"1059391100",1
"1059411756",1
"105942618",1
"105953437",1
"1059575960",1
"105960034",6
"105961181",8
"105964725",1
"105968908",1
"1059731232",1
"105976904",1
"105983030",2
"106005002",2
"1060090711",1
"106021590",7
"106029510",9
"106036020",1
"106036881",3
"106041407",5
"1060507350",1
"1060574131",3
"1060700468",5
"1060819440",1
"1060874791",1
"106093103",1
"106094951",1
"1060951123",1
"1060951765",1
"1060958215",1
"1061080764",1
"1061189252",1
"1061208697",1
"1061278218",1
"1061314609",1
"1061376607",2
"1061491550",1
"106149611",1
"1061518188",1
"1061596202",2
"106172512",1
"1061733956",1
"1061837228",1
"1061857566",1
"1061863939",1
"1061872146",1
"106188646",1
"1061891221",1
"1061891647",2
"1061927173",1
"1061935873",1
"1061970259",1
"106204047",1
"1062044450",1
"1062109543",15
"1062150146",1
"1062161",1
"1062193098",10
"1062217315",1
"106228864",1
"106237242",1
"1062383888",1
"106242517",3
"106252066",2
"1062692192",1
"106272436",1
"106285150",1
"106298910",2
"106303318",1
"1063103546",2
"106313709",1
"1063196904",2
"106320375",2
"1063204033",5
"1063447429",2
"1063625191",1
"1063641110",1
"1063734745",1
"10638",1
"106380891",1
"1063889750",4
"1063907976",1
"1063987308",1
"1064027443",1
"1064033892",1
"1064037283",1
"1064165144",1
"1064291576",1
"1064378052",5
"1064550349",23
"106461005",2
"1064612011",1
"106463670",1
"1064644753",1
"1064709823",1
"106473019",1
"1064732390",1
"1064745792",1
"1064768954",1
"1064863584",1
"106488843",6
"1064920326",1
"1064971",1
"1064984096",1
"106499149",1
"1065043518",2
"106505080",1
"106505716",1
"106506420",1
"1065088518",1
"106509191",1
"106531283",1
"106534546",3
"1065422000",1
"106547728",1
"10655112",1
"106558870",1
"1065642762",1
"106565507",3
"1065698310",1
"106578068",1
"106583754",2
"1065912607",1
"1066054764",2
"1066156561",1
"10661622",1
"106620499",1
"1066219711",1
"1066227710",5
"1066229618",1
"1066248397",1
"1066270333",1
"1066302481",10
"106638299",1
"1066414722",1
"1066425865",1
"1066462712",1
"1066569084",2
"1066610274",1
"106666387",1
"1066740499",1
"1066821714",1
"1066836258",1
"1066838203",1
"1066863876",1
"1067053369",1
"1067081070",1
"1067092375",1
"1067117186",1
"106717516",1
"1067217524",4
"106728440",1
"1067286439",1
"1067298745",1
"1067305357",1
"1067328966",1
"1067344825",1
"1067383165",1
"1067388194",1
"1067437568",2
"106745251",1
"1067487559",1
"1067496187",2
"1067542160",1
"1067556206",1
"106758686",1
"1067639887",1
"1067894624",1
"106794198",2
"1068001850",1
"1068296220",2
"1068330006",2
"106845696",3
"1068473268",1
"106847512",8
"1068486174",1
"1068497424",1
"106852009",1
"1068524540",5
"1068573398",2
"106863668",3
"106874166",1
"106885523",1
"1068864510",1
"1068869084",1
"1068895728",1
"106894245",1
"106895318",3
"1068976963",1
"1069068288",1
"1069108003",1
"1069108076",1
"1069108177",1
"1069138208",1
"106915715",2
"1069194230",7
"106925925",6
"1069341404",1
"106937582",1
"106937683",1
"106945730",2
"1069477412",6
"1069519339",1
"10695272",1
"1069548361",1
"1069661336",1
"1069675826",1
"106969945",1
"1069703396",1
"1069704967",5
"106974895",1
"1069763186",2
"1069794716",1
"1069822297",1
"106983895",2
"1069858272",1
"1069859966",2
"1069865743",1
"1069876435",1
"1069939645",1
"1069958918",1
"1070043350",1
"1070131116",3
"1070170711",1
"1070232559",1
"107026593",1
"1070293585",4
"1070439578",2
"1070559362",2
"107074585",2
"107076660",1
"107088474",1
"107090749",1
"1071011959",2
"1071029844",1
"107103400",1
"1071036632",1
"107113235",1
"1071269970",1
"107137439",3
"107155690",1
"1071571004",1
"1071620401",2
"1071624068",1
"1071642110",1
"1071694460",1
"1071696530",1
"1071759859",1
"107190251",1
"107190787",1
"1072047510",1
"107208128",4
"1072147152",2
"1072153530",2
"1072214149",4
"1072216992",1
"107223917",1
"107224800",1
"107232049",1
"1072329655",2
"1072330159",17
"107233089",2
"1072348969",2
"107235710",1
"1072439216",1
"1072482212",1
"107252927",2
"1072543356",1
"1072562004",1
"1072598665",1
"107275376",2
"107276016",3
"1072780038",4
"1072791931",1
"1072814400",1
"1072817797",1
"1072938433",1
"1072999778",1
"107302697",1
"107304642",1
"107312700",3
"1073156785",3
"1073157391",2
"1073173014",3
"107324373",1
"107352906",1
"1073650776",1
"1073711389",7
"107381271",2
"1073825472",1
"1073826240",1
"107383888",3
"1074059544",1
"1074131450",1
"1074138662",1
"107419387",1
"107429637",1
"107460147",2
"1074751412",1
"107480189",1
"1074845576",2
"1074907436",1
"107492868",1
"1074928933",2
"107493793",4
"1074968203",1
"1074989035",1
"107501519",2
"1075064900",1
"1075084561",2
"1075124936",4
"1075162232",1
"1075208359",1
"1075245680",1
"107529065",2
"1075342662",1
"1075362775",1
"1075369063",3
"107538782",1
"1075388316",1
"1075400592",3
"1075425103",1
"107545214",2
"1075536721",1
"1075627560",1
"107563959",1
"1075658816",1
"107568789",4
"1075712466",12
"107574328",1
"1075755421",1
"1075766160",1
"1075809906",1
"1075865876",1
"1075868694",1
"1075881450",2
"107593592",1
"107595527",1
"1075963386",1
"1076021816",2
"107602722",1
"1076070722",2
"107608687",1
"107610028",1
"107613115",1
"107614740",1
"107632297",1
"107634364",1
"1076430006",2
"107661817",1
"1076633059",2
"107665520",2
"1076735232",1
"107676836",3
"1076830968",22
"1076861245",3
"1076886487",1
"1076927191",1
"107699279",1
"1077124796",21
"107713749",1
"1077243307",1
"1077269546",1
"1077400711",1
"107740141",1
"1077404490",1
"1077453194",1
