from_user,to_user
89582286,394491103
68861475,394491103
146426119,22937565
250156167,257153481
415252351,394491103
258636409,550707081
89866527,394491103
514935273,394491103
311747077,394491103
24695962,394491103
336053544,394491103
297153857,394491103
232018023,394491103
121273341,1284734798
972775057,394491103
63918616,394491103
1297504656,17561662
68975592,394491103
829812012,394491103
332186931,394491103
58726725,394491103
91158720,394491103
1128646712,600624116
336053544,394491103
368269692,223129420
146426119,22937565
217038498,479131227
34815746,394491103
739834478,394491103
1363399700,394491103
26090003,336053544
58085784,394491103
454658962,394491103
491817984,216262200
106852009,394491103
267977169,28785486
30743209,394491103
252820708,394491103
383822826,38924070
29259468,27577239
10371312,394491103
29259468,182285831
368770902,394491103
1245266587,394491103
147355856,394491103
364651197,394491103
17561662,1297504656
10820482,16363707
23817494,23118372
54719192,394491103
21491855,21090782
336053544,394491103
295965741,394491103
505019431,394491103
239506811,18771370
57478101,394491103
486218127,394491103
151601458,394491103
206580529,581565508
423854153,394491103
257153481,250156167
134471741,228859998
257126248,394491103
175588519,394491103
29376792,394491103
24717452,128763056
963513002,394491103
52884318,394491103
263239308,394491103
557937611,394491103
369093989,19185333
1297504656,17561662
611937922,2467791
145809783,394491103
351957256,394491103
264470616,28785486
847646611,394491103
327548306,394491103
220609371,394491103
70451230,171960153
27573517,394491103
264432586,394491103
261110908,394491103
429318169,394491103
355729653,17561662
58104011,394491103
338094270,394491103
896766852,394491103
51568430,394491103
46558416,394491103
29343421,394491103
17561662,1297504656
1358493074,394491103
67719206,394491103
462264313,394491103
322791767,394491103
281323784,394491103
251452480,394491103
238344091,394491103
272261942,394491103
383929321,394491103
267594146,394491103
611937922,168722849
197086451,394491103
1030922364,394491103
811837250,29848522
24096100,394491103
1088202559,394491103
209807125,283188929
235667510,394491103
605559572,394491103
447255175,394491103
1086779562,394491103
595863762,394491103
161965293,394491103
336053544,26090003
1133039978,394491103
330390435,45672084
1297504656,17561662
246432755,51793678
195927024,394491103
252092341,394491103
422079118,394491103
413221786,394491103
336053544,394491103
168530128,394491103
51699445,394491103
408108289,307123865
451525660,394491103
21989897,394491103
630630489,33325270
390408615,394491103
257659577,394491103
1351875920,394491103
65555008,19035917
330771231,394491103
87945879,394491103
177552474,394491103
228859998,134471741
428328308,394491103
309266284,231140504
326292979,316123235
330627079,394491103
64911278,394491103
336053544,394491103
123687010,394491103
605559572,394491103
338756733,394491103
63011050,394491103
285157746,279390084
27841041,394491103
451251035,394491103
338094270,394491103
827611872,394491103
371609789,394491103
18572114,394491103
460313426,394491103
1167295956,394491103
351976047,394491103
1110832992,394491103
1088202559,394491103
348905588,84491162
198275668,394491103
220609371,394491103
1058802138,394491103
923637578,379343390
70270669,394491103
280711813,394491103
332543050,394491103
16077774,394491103
439702184,394491103
258636409,120837707
87588024,394491103
395638643,597224882
40952321,249445271
586258441,394491103
296017858,394491103
52110812,394491103
502689770,174083616
563850197,394491103
21845494,394491103
26304131,20746481
290810722,394491103
31537124,394491103
393131247,394491103
1175538882,394491103
266832647,394491103
479131227,217038498
818089086,394491103
88851639,16041095
441299977,394491103
1056282242,394491103
93360219,394491103
58921154,394491103
337515215,394491103
261261919,394491103
944653681,394491103
527812559,394491103
157749564,1009495500
43787617,394491103
382259171,394491103
224089704,394491103
261110908,394491103
189629003,206580529
334449437,394491103
373934278,394491103
17561662,1297504656
174851668,394491103
50840192,394491103
586258441,394491103
209945905,43754398
545329678,394491103
102260688,394491103
94679954,394491103
570247594,394491103
603415207,394491103
300478180,394491103
143193329,394491103
196322175,394491103
323414556,394491103
175099109,394491103
254290368,394491103
792660210,1058802138
522638121,394491103
260604446,394491103
121813023,394491103
439702184,394491103
18572114,394491103
579401460,394491103
472527443,394491103
1058802138,394491103
356221414,130619374
104662796,461768706
49504146,394491103
1088202559,394491103
34354483,394491103
124798883,73927359
807199398,394491103
174851668,394491103
259813449,394491103
431857735,394491103
74181169,394491103
35881879,582280798
586258441,394491103
435423420,394491103
527812559,394491103
187038320,394491103
204547549,394491103
123351618,394491103
45672084,451461075
428328308,27577239
277331976,204038279
267426308,47188116
70014853,394491103
444043716,394491103
19078902,194998410
603415207,394491103
49668442,394491103
277818674,394491103
336053544,394491103
1058802138,394491103
493806038,40519997
74743968,394491103
14253602,25206896
39678171,394491103
25151114,394491103
341764323,209060358
143193329,394491103
51863423,114819437
17553503,394491103
35945383,394491103
604912704,394491103
54719192,394491103
233093018,603943246
42442758,394491103
739407097,394491103
14454964,40607691
1058802138,394491103
514935273,394491103
412803827,394491103
113756109,394491103
303234408,68490310
336738215,394491103
1213228856,394491103
422561729,394491103
593707141,394491103
327097124,394491103
336053544,394491103
223202221,394491103
748663778,394491103
1039047428,394491103
256339687,394491103
522826632,394491103
923637578,394491103
59855879,394491103
360231701,394491103
1316994254,394491103
1058802138,394491103
57325045,3948041
305596560,1363934684
581565508,206580529
558241569,394491103
603943246,233093018
316616630,394491103
347248967,394491103
1071759859,394491103
274281875,394491103
514935273,394491103
44485840,394491103
174993272,394491103
268619685,394491103
457315910,394491103
1058802138,394491103
393599088,67921850
229372334,394491103
718835526,394491103
580458576,394491103
364522250,394491103
219571381,394491103
168440343,351157948
300632193,394491103
124347206,394491103
1110484807,394491103
620515329,1239990618
83699933,17801749
21845494,28785486
361022019,502178203
1347806072,394491103
1226663060,394491103
874763688,50769180
843849602,394491103
37732815,394491103
1196399599,394491103
779899104,394491103
48766092,394491103
293319020,394491103
339230555,233093018
351176890,394491103
1115352684,14681605
22937565,146426119
1226663060,394491103
888532970,718835526
549327917,394491103
253373591,394491103
377663597,394491103
987789559,394491103
395597997,394491103
450067785,394491103
21601683,323495334
258957276,394491103
892531350,394491103
121813023,394491103
527812559,394491103
793678212,224706419
851298600,394491103
547300902,394491103
1120082689,394491103
56023863,362240720
31515911,593707141
369928090,394491103
97779182,394491103
104662796,446458957
555702837,394491103
1058802138,394491103
19579485,29775241
360694416,394491103
356650200,394491103
142964797,394491103
484545518,394491103
545450735,394491103
235802492,394491103
54436691,394491103
344310377,394491103
194214248,394491103
559024420,394491103
409047898,394491103
397053783,394491103
352779327,705827521
226434538,114819437
1058802138,394491103
97895861,329672214
17065726,394491103
235802492,394491103
301276495,394491103
24092827,215870737
227529611,394491103
233093018,339230555
308180786,394491103
779899104,394491103
1205624220,394491103
1196399599,394491103
163816525,394491103
127610259,394491103
429184253,394491103
159540535,165945944
447690619,394491103
1058802138,394491103
339230555,603943246
102260688,394491103
338441471,394491103
543085768,394491103
20218657,394491103
352420023,382864338
558241569,1164161912
512688800,282870749
404963609,394491103
340410567,394491103
997350662,394491103
539225396,394491103
143193329,394491103
17418223,394491103
1296249758,394491103
86724235,394491103
230447223,18371439
454282865,598555797
14896088,394491103
339230555,233093018
1058802138,394491103
904778340,394491103
253227633,394491103
1250507070,394491103
379343390,21350283
235802492,394491103
350330293,394491103
227529611,394491103
82114985,394491103
233093018,339230555
114893145,227958094
96231782,394491103
464691714,394491103
1333137512,394491103
247143774,394491103
29647950,30603961
27944863,394491103
226434538,114819437
562937592,394491103
431206004,394491103
158092199,394491103
188608544,394491103
531043117,394491103
316616630,1009675676
620515329,394491103
303159204,394491103
174851668,63825783
233093018,339230555
26018954,394491103
1058802138,51793678
634204809,394491103
222001863,264432586
581565508,189629003
339230555,233093018
1061518188,394491103
331228801,394491103
369049413,394491103
546990691,1117714028
24439243,394491103
305596560,394491103
382864338,352420023
43940861,394491103
450248069,394491103
595863762,491817984
410110286,394491103
124343717,394491103
415103143,394491103
264432586,222001863
67981305,870769087
250222474,394491103
355558655,394491103
25059705,47275328
47112663,394491103
1208861688,545688530
20211327,394491103
351362081,394491103
47188116,394491103
396235109,395512677
308874612,394491103
347702295,394491103
446028349,394491103
316293400,394491103
256210295,394491103
1205624220,394491103
1199887291,394491103
57024986,148799148
1365265489,394491103
194116843,394491103
531043117,394491103
527812559,394491103
237626217,394491103
346993298,394491103
43952949,193992033
904778340,394491103
879038035,409047898
43940861,394491103
323448126,394491103
166277131,394491103
277708607,88469882
362851282,271205076
1058802138,114819437
233093018,339230555
16003627,24688697
1149199074,394491103
777270871,394491103
65583549,394491103
479602752,394491103
168256637,372467671
286289029,394491103
233093018,339230555
20655784,23235056
584347154,394491103
34547377,394491103
315614474,264845091
66207284,394491103
121338947,394491103
904778340,394491103
206480304,394491103
461383619,394491103
215576049,394491103
104662796,512188752
1058802138,394491103
436347151,410110286
490994033,394491103
258038871,394491103
474447762,83461869
598555797,454282865
299949655,33769600
916182458,394491103
