Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
87,Super Mario Galaxy 2,Wii,2009,Misc,Ubisoft,3.34,2.91,0,0.75,6.99
88,Just Dance,Wii,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
89,Mario Kart: Double Dash!!,GC,2008,Shooter,Activision,4.49,1.78,0,0.66,6.93
90,Call of Duty: World at War,X360,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
91,Need for Speed Underground 2,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
92,Medal of Honor: Frontline,PS2,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
93,Crash Bandicoot,PS,2011,Shooter,Electronic Arts,4.09,1.99,0.05,0.66,6.8
94,Battlefield 3,X360,2006,Action,Nintendo,3.57,1.95,0.6,0.66,6.78
95,The Legend of Zelda: Twilight Princess,Wii,2008,Shooter,Microsoft Game Studios,4.05,1.87,0.06,0.64,6.62
96,Gears of War 2,X360,2012,Role-Playing,Nintendo,2.08,1.14,2.99,0.36,6.57
97,Pokemon Black / White Version 2,DS,2005,Misc,Nintendo,1.65,2.7,1.6,0.61,6.56
98,Big Brain Academy,DS,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
99,The Legend of Zelda,NES,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
100,Halo: Combat Evolved,XB,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
101,Pokémon Emerald Version,GBA,2012,Action,Electronic Arts,0.89,4.01,0.09,1.41,6.4
102,FIFA Soccer 13,PS3,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
103,Pokémon Crystal Version,GB,2010,Sports,505 Games,3.24,2.47,0,0.67,6.38
104,Zumba Fitness,Wii,2011,Shooter,Electronic Arts,2.54,2.49,0.31,1.04,6.37
105,Battlefield 3,PS3,2011,Sports,Electronic Arts,0.78,4.05,0.11,1.41,6.35
106,FIFA Soccer 12,PS3,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
107,Super Mario Sunshine,GC,2007,Shooter,Activision,2.93,2.13,0.28,0.97,6.31
108,Call of Duty 4: Modern Warfare,PS3,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
109,Street Fighter II: The World Warrior,SNES,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
110,Driver,PS,2004,Role-Playing,Activision,3.96,2.29,0,0,6.25
111,World of Warcraft,PC,2009,Action,Sony Computer Entertainment,3.07,1.96,0.21,0.93,6.17
112,Uncharted 2: Among Thieves,PS3,2009,Shooter,Microsoft Game Studios,4.2,1.29,0.06,0.6,6.15
113,Halo 3: ODST,X360,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
114,Metal Gear Solid 2: Sons of Liberty,PS2,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
115,Sonic the Hedgehog 2,GEN,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
116,Metal Gear Solid,PS,2006,Shooter,Microsoft Game Studios,3.49,1.85,0.07,0.6,6
117,Gears of War,X360,2010,Platform,Nintendo,2.87,1.57,1.03,0.49,5.95
118,Donkey Kong Country Returns,Wii,2006,Role-Playing,Square Enix,1.88,1.19,2.33,0.54,5.95
119,Final Fantasy XII,PS2,2012,Platform,Nintendo,2.06,1.5,2.04,0.33,5.93
120,New Super Mario Bros. 2,3DS,2011,Shooter,Microsoft Game Studios,3.78,1.48,0.07,0.55,5.88
121,Gears of War 3,X360,2011,Action,Sony Computer Entertainment,2.47,2.24,0.19,0.95,5.85
122,Uncharted 3: Drake's Deception,PS3,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,0.94,0.07,5.85
123,Kingdom Hearts,PS2,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
124,Resident Evil 2,PS,2008,Action,Konami Digital Entertainment,2.55,1.6,0.83,0.79,5.77
125,Metal Gear Solid 4: Guns of the Patriots,PS3,1996,Fighting,Namco Bandai Games,2.26,1.89,1.36,0.23,5.74
126,Tekken 2,PS,2009,Role-Playing,Nintendo,0.55,0.63,4.35,0.15,5.68
127,Dragon Quest IX: Sentinels of the Starry Skies,DS,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
128,Tetris,NES,2010,Sports,Microsoft Game Studios,3.49,1.52,0.03,0.53,5.57
129,Kinect Sports,X360,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
130,Super Smash Bros.,N64,2010,Action,Take-Two Interactive,3.21,1.68,0.09,0.54,5.52
131,Red Dead Redemption,X360,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
132,Super Mario Advance,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
133,Mario Kart: Super Circuit,GBA,2006,Simulation,505 Games,2.94,1.88,0.07,0.57,5.47
134,Cooking Mama,DS,2012,Misc,Ubisoft,3.09,1.86,0,0.53,5.47
135,Just Dance 4,Wii,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
136,Super Mario World,GBA,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
137,Pokémon Stadium,N64,2010,Action,Take-Two Interactive,2.37,2.04,0.17,0.83,5.42
138,Red Dead Redemption,PS3,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
139,Crash Bandicoot: The Wrath of Cortex,PS2,2009,Action,Ubisoft,2.32,2,0.21,0.87,5.39
140,Assassin's Creed II,PS3,2009,Racing,Microsoft Game Studios,2.9,1.83,0.1,0.53,5.37
141,Forza Motorsport 3,X360,2008,Role-Playing,Capcom,0.44,0.49,4.13,0.31,5.36
