Month,Year,Waist,d,Height ,Weight,BMI,Waist/Hip
May,1977,25,36,68,130,19.76427336,0.694444444
June,1977,22,32,62.5,105,18.89664,0.6875
July,1977,24,35,66,110,17.75252525,0.685714286
August,1977,23,32,66,112,18.07529844,0.71875
September,1977,24,36,64,114,19.56591797,0.666666667
October,1977,24.5,34,66,119,19.20500459,0.720588235
November,1977,23,36,70,125,17.93367347,0.638888889
December,1977,24,35,68,120,18.24394464,0.685714286
January,1978,24,35,68,120,18.24394464,0.685714286
February,1978,24,35,64,110,18.87939453,0.685714286
March,1978,24,35,66,110,17.75252525,0.685714286
April,1978,24,35,65,115,19.13491124,0.685714286
May,1978,23,34,67,110,17.2265538,0.676470588
June,1978,22,34,61,103,19.45955388,0.647058824
July,1978,22,32,66,95,15.33172635,0.6875
August,1978,24,36,67,117,18.32278904,0.666666667
September,1978,23,34,62,101,18.47112383,0.676470588
October,1978,23,35,68,117,17.78784602,0.657142857
November,1978,26,36,67,117,18.32278904,0.722222222
December,1978,24,36,67.5,118,18.20663923,0.666666667
January,1979,24,34,67,110,17.2265538,0.705882353
February,1979,23,35,64,107,18.36450195,0.657142857
March,1979,24,33,63,104,18.4207609,0.727272727
April,1979,22,32,64,95,16.30493164,0.6875
May,1979,24,34,65,108,17.97017751,0.705882353
June,1979,23,34,64.5,110,18.58782525,0.676470588
July,1979,24.5,34,67,118,18.47939407,0.720588235
August,1979,24,36,69,123,18.16194077,0.666666667
September,1979,22,34,67,105,16.44352863,0.647058824
October,1979,23,33,66,103,16.6228191,0.696969697
November,1979,23,34,67,110,17.2265538,0.676470588
December,1979,23,34,67,110,17.2265538,0.676470588
January,1980,24,36,68,115,17.48378028,0.666666667
February,1980,25,35.5,65.5,118,19.33546996,0.704225352
March,1980,25,36,68.5,125,18.72768927,0.694444444
April,1980,24,33.5,65,110,18.30295858,0.71641791
May,1980,24,35,69,130,19.19554715,0.685714286
June,1980,26,35,62,105,19.20265349,0.742857143
July,1980,22,34,67,104,16.28692359,0.647058824
August,1980,25,35,68,119,18.09191176,0.714285714
September,1980,22,34,67,115,18.00957897,0.647058824
October,1980,24,35,66,105,16.94559229,0.685714286
November,1980,23,33,67,105,16.44352863,0.696969697
December,1980,24,36,69,120,17.7189666,0.666666667
January,1981,26,37,65,123,20.4660355,0.702702703
February,1981,23,34,68,120,18.24394464,0.676470588
March,1981,24,36,68,124,18.85207612,0.666666667
April,1981,22,34,63,103,18.2436382,0.647058824
May,1981,24,36,65,105,17.47100592,0.666666667
June,1981,26,37,68,127,19.30817474,0.702702703
July,1981,24,34,67.5,120,18.51522634,0.705882353
August,1981,23,34,64,107,18.36450195,0.676470588
September,1981,24,36,68,120,18.24394464,0.666666667
October,1981,24,36,67,119,18.63599911,0.666666667
November,1981,25,36,70,128,18.36408163,0.694444444
December,1981,25,36,63,115,20.36911061,0.694444444
January,1982,22,34,63,101,17.88939279,0.647058824
February,1982,23,34,68,112,17.02768166,0.676470588
March,1982,23,33,66,106,17.10697888,0.696969697
April,1982,23,34,60.5,98,18.8222116,0.676470588
May,1982,20,34,65,105,17.47100592,0.588235294
June,1982,22,33,63,102,18.0665155,0.666666667
July,1982,22,36,66,115,18.55945822,0.611111111
August,1982,22,34,64,102,17.50634766,0.647058824
September,1982,22,35,67,115,18.00957897,0.628571429
October,1982,21,32,68,105,15.96345156,0.65625
November,1982,24,34,69,125,18.45725688,0.705882353
December,1982,23,34,69,116,17.12833438,0.676470588
January,1983,22,35,67,118,18.47939407,0.628571429
February,1983,23,34,64,101,17.3347168,0.676470588
March,1983,22,32,62,103,18.83688866,0.6875
April,1983,22,33,64,105,18.02124023,0.666666667
May,1983,23,34,65,108,17.97017751,0.676470588
