"link","frequency"
"http://t.co/4AYyj7bdRw",1
"http://t.co/4BJOo4xyyJ",2
"http://t.co/4cF8EnjO",26
"http://t.co/4dMWw7U76i",1
"http://t.co/4dUll8R65e",1
"http://t.co/4ElFObrcJd",1
"http://t.co/4eMXRZRlOU",1
"http://t.co/4EQ88AGY0O",1
"http://t.co/4F6eLjrXjp",204
"http://t.co/4F7YxTLmHu",1
"http://t.co/4FNx6pk42e",1
"http://t.co/4fXYOCqsJ5",1
"http://t.co/4I2cfUDMKR”",1
"http://t.co/4kq3sSIBQm",1
"http://t.co/4LiFnfzI7b",1
"http://t.co/4lspRDIoai”",1
"http://t.co/4mKeq9tS1X”",1
"http://t.co/4mWSLyHqea",6
"http://t.co/4N45SBYpWB",1
"http://t.co/4OEiBuCisZ",1
"http://t.co/4oiaX0fWv5",2
"http://t.co/4OjqHAuUtT",8
"http://t.co/4oKjjygPK0",1
"http://t.co/4pO209mZJB",1
"http://t.co/4qabIELhzN",1
"http://t.co/4Qku742Skj",1
"http://t.co/4qZJBfIAEU”",3
"http://t.co/4rLRsj4CLd",1
"http://t.co/4Rmh3R2dFR",2
"http://t.co/4sikh1Tsqq",1
"http://t.co/4sJueNIvrR",2
"http://t.co/4SlLfKiQTb""",1
"http://t.co/4TDYjtzwKc",1
"http://t.co/4vhaWiBscC",1
"http://t.co/4w7ikhG6as",1
"http://t.co/4WnclcWFhh”",1
"http://t.co/4X4NPQZZdm",1
"http://t.co/4XAYS8NtbJ",1
"http://t.co/4xLLiC0FWs”",1
"http://t.co/4ycmwGbG45”””",1
"http://t.co/4yuB1BFxi1”",1
"http://t.co/4zb5FK4r0j""",1
"http://t.co/4ZePZiFRK0",1
"http://t.co/4zW4lhtOeN""",1
"http://t.co/5043wcZnBS",7
"http://t.co/551jfPtX0K",1
"http://t.co/573ajCHxHJ”",1
"http://t.co/57D4dRfvSt",1
"http://t.co/58pGnXl8AM",1
"http://t.co/5aYy7KNzO8",1
"http://t.co/5dQZOGwYcG",1
"http://t.co/5ESG4pWX2t",2
"http://t.co/5fwwPeikpJ",8
"http://t.co/5G6mNHa90P",1
"http://t.co/5H5cDUViie”",1
"http://t.co/5IB6ZzXals",1
"http://t.co/5IHybtm242",1
"http://t.co/5iSk8PvQdO",62
"http://t.co/5JMlra3wrI",1
"http://t.co/5JONrbHMfl”",1
"http://t.co/5JtKchddDw",1
"http://t.co/5KdnMUbcNd",3
"http://t.co/5KgnPiT5Pt”",1
"http://t.co/5L3hGEprSj",2
"http://t.co/5l3Z0JhS7i""",2
"http://t.co/5lfFZnSdJn""",1
"http://t.co/5lstWg0LOw",1
"http://t.co/5LV5nvULTf",1
"http://t.co/5m2zyZ1vNI",1
"http://t.co/5mLwdVQBzC",1
"http://t.co/5Mpma5FWeD""",1
"http://t.co/5nn9xx5KNf",1
"http://t.co/5NO9yS1RU7”",1
"http://t.co/5NrD6Wq8UC",1
"http://t.co/5OzHH4X8DX",1
"http://t.co/5pQ0RbRYhV""",1
"http://t.co/5Pzv3bupPL",1
"http://t.co/5QIwPErwVY",2
"http://t.co/5SODvFFECe",1
"http://t.co/5st0PKdH96",1
"http://t.co/5tzGtYQ6P3",1
"http://t.co/5UJkbHcCzB”",1
"http://t.co/5UoqjBHbHz",1
"http://t.co/5zf9xUFjeW",1
"http://t.co/5zK2hRszzb”",1
"http://t.co/61LZuwEh8k",1
"http://t.co/61ogcXevwd",1
"http://t.co/626iyoU4Ih”",1
"http://t.co/63BZyfWML9",1
"http://t.co/64ENYsyGF9""",1
"http://t.co/65eG7QWOGh”",1
"http://t.co/6632Ro6Y8j",1
"http://t.co/66NvWNT5ni",1
"http://t.co/66qMaDAv",13
"http://t.co/69MvpaH44f",1
"http://t.co/6a5b9UEDVa",1
"http://t.co/6aI2eSKAM1",1
"http://t.co/6aRQ46NGBU”",1
"http://t.co/6bnkcGvEKm",1
"http://t.co/6BqtYP8IX2",2
"http://t.co/6Cj5XIWRZp",1
"http://t.co/6Cj90UWZ…",1
"http://t.co/6Cj90UWZE7",1
"http://t.co/6CP02Htsbb",1
"http://t.co/6cUflATTvB",2
"http://t.co/6cURoj9KP7",1
"http://t.co/6CV2qjAoC2",1
"http://t.co/6e8U8I6f7i",1
"http://t.co/6Eod1cWau6",1
"http://t.co/6ePBgYHJGn",1
"http://t.co/6Ey6GoW1jX",1
"http://t.co/6f7SAtL3y7”",1
"http://t.co/6Fj1YkMyYB",1
"http://t.co/6HB2crrPTR",1
"http://t.co/6hciISoHfC",1
"http://t.co/6HlA9pcpqX",1
"http://t.co/6Hoj7viqzc",1
"http://t.co/6I26ATfRLr",1
"http://t.co/6iW173yXg5",2
"http://t.co/6JhqppH0",16
"http://t.co/6KOpmYMI0v",2
"http://t.co/6KX4datlxj",1
"http://t.co/6NUrXeucph""",18
"http://t.co/6oavSseqsQ",1
"http://t.co/6pmQfip9o8",3
"http://t.co/6PSNMJ3T…",1
"http://t.co/6PSNMJ3TdM",1
"http://t.co/6qY1FuxBcW",2
"http://t.co/6rHOL1xLJJ",1
"http://t.co/6rOwtBPal2",2
"http://t.co/6SVDkbHELX””",1
"http://t.co/6TcZRvUcd6",1
"http://t.co/6W9Vs27ZTh",1
"http://t.co/6WafMLXHGm",1
"http://t.co/6widqogmG3",1
"http://t.co/6WPphEkCJn",1
"http://t.co/6ZHlgmmHDp”",1
"http://t.co/702gmj1T4I",1
"http://t.co/70KrevdfyS",1
"http://t.co/73V4qG3…",1
"http://t.co/73V4qG3b7L",2
"http://t.co/74ZAHOmhog""",1
"http://t.co/76h2ksnnkX”",1
"http://t.co/76Z9LvOaRS",1
"http://t.co/77fS0ZpRG2",1
"http://t.co/78XRPBVlP7",1
"http://t.co/7aLd0TDk0H",1
"http://t.co/7apbUFZeKC",1
"http://t.co/7CeJ0Ol4qh",2
"http://t.co/7DPRYO3snd",1
"http://t.co/7ep1uDoCOU""",2
"http://t.co/7FCliYzUbn",1
"http://t.co/7gECxC3abt",1
"http://t.co/7gWuHU8OcU",1
"http://t.co/7H3cBxtM9S",1
"http://t.co/7It8H9MXlK",1
"http://t.co/7ixxU427U3",1
"http://t.co/7J9Htmt1iG",1
"http://t.co/7jWuDbJJzl",1
"http://t.co/7kT2xUxsOY""",26
"http://t.co/7LxkH6VyT9",1
"http://t.co/7O5GsCoTqJ""",1
"http://t.co/7O7iRUUEnl",1
"http://t.co/7P4hoHOSki""",1
"http://t.co/7PEsCadb87",1
"http://t.co/7QMEM22mt4",1
"http://t.co/7RdfUFV4nh",2
"http://t.co/7S58zy7jYi",1
"http://t.co/7Scjm8QYX1",1
"http://t.co/7SoZUGKVBr""",6
"http://t.co/7TOYNnH1qr",1
"http://t.co/7uUFuTKMPD",1
"http://t.co/7UzcI1ZJiW”",1
"http://t.co/7v6CykNqp2”",1
"http://t.co/7vagkhPBuz",1
"http://t.co/7VbQ3F0W2x",1
"http://t.co/7W…",1
"http://t.co/80GZy2maWf”",1
"http://t.co/81qW50fYMk",1
"http://t.co/820Wgw1p02",1
"http://t.co/82VXcyVpaE",1
"http://t.co/85BN7javA0",1
"http://t.co/85cUcN385N",1
"http://t.co/89N4uvOjvD”",1
"http://t.co/8AoGeiBvzP""",1
"http://t.co/8AyK384Qy5",1
"http://t.co/8AyK384Qy5!",1
"http://t.co/8bAjcjGRlH",1
"http://t.co/8CVOonADBn”",1
"http://t.co/8DqLebpYhJ”",1
"http://t.co/8efUwD55Nr",1
"http://t.co/8ewuZ8EgAg""",1
"http://t.co/8FdrgoIYCa”",1
"http://t.co/8FtBZtcCJE",1
"http://t.co/8h8PvvsAjU",1
"http://t.co/8hWYNVe5wY”",1
"http://t.co/8hY0nL84Z0",1
"http://t.co/8JPC2Qva7j",63
"http://t.co/8Jy7c48mG6”",2
"http://t.co/8lTHJ5hjpv”",1
"http://t.co/8lWt33hpkx",1
"http://t.co/8Md1jv7Gah”",1
"http://t.co/8mVcIgJolw",3
"http://t.co/8NFbowbWNY”",1
"http://t.co/8nhPnzRos7",1
"http://t.co/8oDJGUdDTh”",1
"http://t.co/8p5MVmxfQo",2
"http://t.co/8p83i7JEA1",1
"http://t.co/8pC6cXzJOB",1
