"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"kommen","2","2","0","4","all-fixed.csv","4"
NA,"lawrencepit","1","2","0","3","all-fixed.csv","4"
NA,"lest","4","9","111.889811912226","13","all-fixed.csv","4"
NA,"mferrier","0","1","0","1","all-fixed.csv","4"
NA,"nashby","15","10","119.966800843929","25","all-fixed.csv","4"
NA,"orslumen","0","1","0","1","all-fixed.csv","4"
NA,"parndt","0","1","0","1","all-fixed.csv","4"
NA,"pdjota","2","3","0","5","all-fixed.csv","4"
NA,"pederbl","1","0","0","1","all-fixed.csv","4"
NA,"petervandenabeele","2","2","2.92857142857143","4","all-fixed.csv","4"
NA,"qoobaa","0","1","0","1","all-fixed.csv","4"
NA,"rafaelfranca","0","2","0","2","all-fixed.csv","4"
NA,"rdp","1","0","0","1","all-fixed.csv","4"
NA,"sferik","0","1","0","1","all-fixed.csv","4"
NA,"spastorino","1","1","56","2","all-fixed.csv","4"
NA,"steveklabnik","0","2","0","2","all-fixed.csv","4"
NA,"tenderlove","12","10","456.882081633665","22","all-fixed.csv","4"
NA,"vijaydev","8","8","72.0277056277056","16","all-fixed.csv","4"
NA,"wycats","2","2","1.33333333333333","4","all-fixed.csv","4"
"49","aceofspades","1","1","34","2","all-fixed.csv","5"
NA,"alexeymuranov","25","32","170.0932260019","57","all-fixed.csv","5"
NA,"amatsuda","11","4","91.3021882596821","15","all-fixed.csv","5"
NA,"arunagw","7","6","110.188255917752","13","all-fixed.csv","5"
NA,"bogdan","6","5","60.5718051038506","11","all-fixed.csv","5"
NA,"brentsowers1","0","1","0","1","all-fixed.csv","5"
NA,"carlosantoniodasilva","17","27","495.704969312485","44","all-fixed.csv","5"
NA,"danchoi","3","3","109","6","all-fixed.csv","5"
NA,"despo","0","1","0","1","all-fixed.csv","5"
NA,"dmathieu","2","1","1.22753458002845","3","all-fixed.csv","5"
NA,"dnagir","0","1","0","1","all-fixed.csv","5"
NA,"drogus","0","1","0","1","all-fixed.csv","5"
NA,"elia","4","5","152","9","all-fixed.csv","5"
NA,"frodsan","1","2","0","3","all-fixed.csv","5"
NA,"fu-media","0","1","0","1","all-fixed.csv","5"
NA,"fxn","2","0","0","2","all-fixed.csv","5"
NA,"gregolsen","4","1","3.90444444444444","5","all-fixed.csv","5"
NA,"guilleiguaran","10","5","146.013750645315","15","all-fixed.csv","5"
NA,"huerlisi","0","1","0","1","all-fixed.csv","5"
NA,"iHiD","6","3","68.4449301515038","9","all-fixed.csv","5"
NA,"isaacsanders","1","1","0","2","all-fixed.csv","5"
NA,"j-manu","12","7","299.122131929695","19","all-fixed.csv","5"
NA,"jasonnoble","1","1","0","2","all-fixed.csv","5"
NA,"jdelStrother","2","1","4.25261464199517","3","all-fixed.csv","5"
NA,"jeremy","27","21","144.145623646216","48","all-fixed.csv","5"
NA,"jm","4","2","2.26953223767383","6","all-fixed.csv","5"
NA,"joevandyk","0","1","0","1","all-fixed.csv","5"
NA,"jonleighton","8","11","115.445162881897","19","all-fixed.csv","5"
NA,"josevalim","16","30","494.380122679879","46","all-fixed.csv","5"
NA,"jrochkind","2","2","0","4","all-fixed.csv","5"
NA,"jwarchol","1","1","0","2","all-fixed.csv","5"
NA,"lawrencepit","2","1","0","3","all-fixed.csv","5"
NA,"lest","3","3","41.0428571428571","6","all-fixed.csv","5"
NA,"mikelikesbikes","0","2","0","2","all-fixed.csv","5"
NA,"mipearson","1","1","0","2","all-fixed.csv","5"
NA,"nashby","10","8","54.7252841811866","18","all-fixed.csv","5"
NA,"nfm","0","1","0","1","all-fixed.csv","5"
NA,"parndt","2","1","0","3","all-fixed.csv","5"
NA,"rafaelfranca","11","17","216.01142365771","28","all-fixed.csv","5"
NA,"simonc","0","1","0","1","all-fixed.csv","5"
NA,"spastorino","6","4","44.0116286012838","10","all-fixed.csv","5"
NA,"splattael","0","1","0","1","all-fixed.csv","5"
NA,"steakknife","0","1","0","1","all-fixed.csv","5"
NA,"steveklabnik","0","1","0","1","all-fixed.csv","5"
NA,"swrobel","2","4","0","6","all-fixed.csv","5"
NA,"tenderlove","24","10","363.521276299847","34","all-fixed.csv","5"
NA,"vijaydev","8","7","41.6212376827991","15","all-fixed.csv","5"
NA,"wycats","1","0","0","1","all-fixed.csv","5"
NA,"xuanxu","0","1","0","1","all-fixed.csv","5"
"62","AaronLasseigne","0","1","0","1","all-fixed.csv","6"
NA,"alexeymuranov","2","0","0","2","all-fixed.csv","6"
NA,"arunagw","4","1","10.2599007314525","5","all-fixed.csv","6"
NA,"benmmurphy","4","2","0","6","all-fixed.csv","6"
NA,"blackbird07","1","2","0","3","all-fixed.csv","6"
