"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"alexeymuranov","9","10","182.987365901325","19","comments-fixed.csv","5"
NA,"amatsuda","11","4","84.9839799089799","15","comments-fixed.csv","5"
NA,"arunagw","3","4","82.9666666666667","7","comments-fixed.csv","5"
NA,"bogdan","5","4","46.9405693721483","9","comments-fixed.csv","5"
NA,"brentsowers1","0","1","0","1","comments-fixed.csv","5"
NA,"carlosantoniodasilva","13","20","463.262392845808","33","comments-fixed.csv","5"
NA,"danchoi","3","3","96","6","comments-fixed.csv","5"
NA,"despo","0","1","0","1","comments-fixed.csv","5"
NA,"dmathieu","2","1","3.10897990897991","3","comments-fixed.csv","5"
NA,"dnagir","0","1","0","1","comments-fixed.csv","5"
NA,"drogus","0","1","0","1","comments-fixed.csv","5"
NA,"elia","4","5","136","9","comments-fixed.csv","5"
NA,"frodsan","1","2","0","3","comments-fixed.csv","5"
NA,"fu-media","0","1","0","1","comments-fixed.csv","5"
NA,"fxn","2","0","0","2","comments-fixed.csv","5"
NA,"gregolsen","4","1","7.05555555555556","5","comments-fixed.csv","5"
NA,"guilleiguaran","10","5","131.014584956048","15","comments-fixed.csv","5"
NA,"huerlisi","0","1","0","1","comments-fixed.csv","5"
NA,"iHiD","4","2","57.0978682170542","6","comments-fixed.csv","5"
NA,"isaacsanders","1","1","0","2","comments-fixed.csv","5"
NA,"j-manu","6","6","128","12","comments-fixed.csv","5"
NA,"jasonnoble","1","1","0","2","comments-fixed.csv","5"
NA,"jdelStrother","2","1","7.6783723522854","3","comments-fixed.csv","5"
NA,"jeremy","10","5","145.870046620047","15","comments-fixed.csv","5"
NA,"jm","3","1","0.333333333333333","4","comments-fixed.csv","5"
NA,"joevandyk","0","1","0","1","comments-fixed.csv","5"
NA,"jonleighton","8","11","138.887223296663","19","comments-fixed.csv","5"
NA,"josevalim","15","26","456.164692421052","41","comments-fixed.csv","5"
NA,"jrochkind","2","2","0","4","comments-fixed.csv","5"
NA,"jwarchol","1","1","0","2","comments-fixed.csv","5"
NA,"lawrencepit","2","1","0","3","comments-fixed.csv","5"
NA,"lest","3","3","47.5222222222222","6","comments-fixed.csv","5"
NA,"mikelikesbikes","0","2","0","2","comments-fixed.csv","5"
NA,"mipearson","1","1","0","2","comments-fixed.csv","5"
NA,"nashby","2","0","0","2","comments-fixed.csv","5"
NA,"nfm","0","1","0","1","comments-fixed.csv","5"
NA,"rafaelfranca","7","10","146.442016167975","17","comments-fixed.csv","5"
NA,"simonc","0","1","0","1","comments-fixed.csv","5"
NA,"spastorino","2","1","0","3","comments-fixed.csv","5"
NA,"splattael","0","1","0","1","comments-fixed.csv","5"
NA,"steveklabnik","0","1","0","1","comments-fixed.csv","5"
NA,"swrobel","2","4","0","6","comments-fixed.csv","5"
NA,"tenderlove","18","7","283.789886167676","25","comments-fixed.csv","5"
NA,"vijaydev","3","4","16.8942440861811","7","comments-fixed.csv","5"
NA,"wycats","1","0","0","1","comments-fixed.csv","5"
NA,"xuanxu","0","1","0","1","comments-fixed.csv","5"
"61","AaronLasseigne","0","1","0","1","comments-fixed.csv","6"
NA,"alexeymuranov","2","0","0","2","comments-fixed.csv","6"
NA,"arunagw","3","0","0","3","comments-fixed.csv","6"
NA,"benmmurphy","4","2","0","6","comments-fixed.csv","6"
NA,"blackbird07","1","2","0","3","comments-fixed.csv","6"
NA,"bogdan","6","4","95","10","comments-fixed.csv","6"
NA,"bradediger","4","2","46","6","comments-fixed.csv","6"
NA,"canweriotnow","0","1","0","1","comments-fixed.csv","6"
NA,"carlosantoniodasilva","12","9","216.149062049062","21","comments-fixed.csv","6"
NA,"chris-baynes","3","3","0","6","comments-fixed.csv","6"
NA,"conradwt","1","1","0","2","comments-fixed.csv","6"
NA,"dlee","10","5","321","15","comments-fixed.csv","6"
NA,"drogus","1","2","37.4090909090909","3","comments-fixed.csv","6"
NA,"frodsan","0","1","0","1","comments-fixed.csv","6"
NA,"funny-falcon","2","1","0","3","comments-fixed.csv","6"
NA,"fxn","9","13","643.108021390374","22","comments-fixed.csv","6"
NA,"gregolsen","1","1","0","2","comments-fixed.csv","6"
NA,"guilleiguaran","5","10","114.253968253968","15","comments-fixed.csv","6"
NA,"headius","1","0","0","1","comments-fixed.csv","6"
NA,"hmcfletch","6","2","255.857575757576","8","comments-fixed.csv","6"
NA,"homakov","3","2","46","5","comments-fixed.csv","6"
NA,"houen","0","1","0","1","comments-fixed.csv","6"
NA,"igrigorik","1","0","0","1","comments-fixed.csv","6"
NA,"iHiD","2","3","0","5","comments-fixed.csv","6"
NA,"indrekj","0","1","0","1","comments-fixed.csv","6"
NA,"isaacsanders","1","7","5.2804662004662","8","comments-fixed.csv","6"
NA,"jeremy","4","3","105.071861471861","7","comments-fixed.csv","6"
NA,"jeremyf","1","7","64.8787878787879","8","comments-fixed.csv","6"
NA,"jkaneacumen","0","2","0","2","comments-fixed.csv","6"
NA,"joevandyk","9","8","108.873303167421","17","comments-fixed.csv","6"
NA,"jonleighton","9","2","125.095989304813","11","comments-fixed.csv","6"
NA,"josevalim","19","24","891.997705627706","43","comments-fixed.csv","6"
NA,"kennyj","19","17","1143.17724980901","36","comments-fixed.csv","6"
NA,"kreynolds","2","0","0","2","comments-fixed.csv","6"
NA,"lest","1","3","0","4","comments-fixed.csv","6"
NA,"lloeki","0","1","0","1","comments-fixed.csv","6"
NA,"markiz","1","3","0","4","comments-fixed.csv","6"
NA,"masterkain","0","2","0","2","comments-fixed.csv","6"
NA,"Mik-die","1","0","0","1","comments-fixed.csv","6"
NA,"mledom","1","1","0","2","comments-fixed.csv","6"
NA,"nashby","2","3","12.6773262032086","5","comments-fixed.csv","6"
NA,"ncreuschling","1","1","0","2","comments-fixed.csv","6"
NA,"nicksieger","1","0","0","1","comments-fixed.csv","6"
NA,"NZKoz","6","9","195.166666666667","15","comments-fixed.csv","6"
NA,"parndt","3","2","80.4171122994652","5","comments-fixed.csv","6"
NA,"patrick99e99","7","6","159.717766351296","13","comments-fixed.csv","6"
