source,target
225845,5778182
1159,5778334
78972,5778523
1159,5778334
1159,5778334
78972,5778523
78972,5778523
1159,5778334
225845,5778182
225845,5778182
1159,5778334
225845,5778182
78972,5778523
78972,5778523
225845,5778182
225845,5778182
1159,5778334
1159,5778334
324097,5778523
225845,5778182
78972,5778523
78972,5778523
1159,5778334
1159,5778334
225845,5778182
1159,5778334
225845,5778182
155613,5778421
1159,5778334
1159,5785394
1159,5785394
225845,5778182
225845,5778182
225845,5778182
225845,5778182
1159,5785394
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
401069,6194378
507994,6195271
169541,6210975
401069,6195271
169541,6210049
169541,6209923
298658,6211251
56134,6194378
401069,6186657
401069,6186657
401069,6193715
169541,6210977
54329,6207054
156263,6193763
56134,6193715
401069,6186657
272498,6186657
401069,6247020
401069,6186657
272498,6186657
198183,6194399
198183,6186657
401069,6194399
401069,6186657
198183,6186657
401069,6186657
198183,6186657
56134,6193530
56134,6193088
401069,6190031
401069,6192362
401069,6193530
401069,6193088
56134,6190031
401069,6186657
95007,6186657
401069,6195271
474213,6210999
166826,6195271
401069,6186657
401069,6195271
401069,6207054
401069,6210015
401069,6209923
401069,6211066
401069,6210975
54329,6207054
95523,6210975
401069,6210832
401069,6209868
401069,6209863
169541,6209865
169541,6209863
169541,6209868
272498,6210015
401069,6209995
401069,6210977
401069,6210975
95523,6209995
95523,6210832
198183,6210015
511125,6209986
166826,6210015
401069,6210015
481319,6210019
272498,6209492
401069,6209473
95523,6209473
156263,6209865
401069,6210015
272498,6209473
401069,6210005
272498,6210005
401069,6210007
481319,6209986
401069,6210015
272498,6210015
198183,6210015
401069,6210015
401069,6210015
401069,6209027
401069,6209492
401069,6209473
401069,6209492
401069,6209027
169541,6209027
169541,6209473
169541,6209492
169541,6209556
365990,6186657
401069,6209492
401069,6208488
272498,6208488
401069,6208977
169541,6208977
55001,6188104
401069,6186657
198183,6186657
305096,6186657
165717,6186657
328108,6186657
54284,6186661
165717,6186657
198183,6186657
55001,6186657
198183,6186657
401069,6186657
401069,6186657
198183,6186657
401069,6186657
401069,6186657
198183,6186657
156263,6186659
156263,6186657
198183,6186657
298658,6186657
328108,6186657
328108,6186657
198183,6186956
328108,6186657
254549,6187012
55001,6186956
506039,6186657
328108,6187012
168130,6186657
166280,6186657
166280,6187012
338304,6186720
254549,6187178
254549,6187209
254549,6187365
479703,6186956
401069,6186657
401069,6186956
401069,6186956
401069,6186657
401069,6187178
401069,6186657
305096,6186657
305096,6187012
401069,6186657
401069,6186657
219460,6186657
298658,6188035
401069,6186657
401069,6186657
401069,6186657
328108,6186657
328108,6186657
328108,6186956
272498,6186657
198183,6186657
156263,6186956
479703,6187710
479703,6188140
401069,6187710
506460,6186659
506460,6186675
401069,6186657
422388,6186657
506460,6186720
401069,6186657
166280,6186956
401069,6186956
401069,6186657
198183,6186657
198183,6186657
56134,6189521
401069,6186657
401069,6186657
198183,6186657
401069,6188104
506631,6189659
56134,6189629
401069,6189629
401069,6186657
401069,6186657
401069,6186657
166280,6186956
95523,6190059
328108,6187712
247065,6186657
401069,6187712
401069,6187712
506631,6190061
166280,6186956
401069,6186956
401069,6190061
401069,6186657
506631,6190383
401069,6186657
156263,6189659
232011,6247020
401069,6247020
52976,6247020
401069,6247020
401069,6187712
328108,6187712
328108,6187712
401069,6195271
166826,6195271
169541,6186657
298658,6205824
231867,6205861
401069,6205861
401069,6186657
169541,6205824
169541,6206126
401069,6206126
231867,6206501
231867,6206501
169541,6206501
401069,6206501
401069,6206458
169541,6207054
169541,6207063
401069,6207054
401069,6206458
169541,6195121
401069,6186657
401069,6186657
298658,6208090
272498,6186657
169541,6208488
169541,6208120
169541,6207576
401069,6208120
401069,6207576
401069,6208488
169541,6211871
169541,6211870
169541,6211869
508000,6212285
54329,6211869
508000,6212304
401069,6212323
508000,6212401
401069,6211869
401069,6211870
401069,6211871
156843,6212402
169541,6212409
169541,6212406
169541,6186657
54329,6212518
54329,6186657
474213,6213106
169541,6213459
401069,6214118
54329,6213459
52976,6186657
169541,6186657
401069,6214142
401069,6247020
401069,6247020
52976,6247020
401069,6247020
52976,6186657
52976,6247020
52976,6247020
401069,6212409
401069,6186657
401069,6207054
169541,6220578
401069,6220578
95007,6186657
401069,6186657
401069,6186657
54329,6207054
328108,6187712
401069,6207054
401069,6186657
54329,6207054
162077,6195271
401069,6207054
401069,6195271
52976,6207054
401069,6207054
380015,6242905
52976,6186657
52976,6247020
52976,6247020
401069,6247020
52976,6186657
401069,6186657
401069,6186657
52976,6186657
528304,6285110
401069,6186657
401069,6187712
52976,6187712
